,0,1,2,3,4,5,6,7,8,9,10,Date
117,10:26 AM,"50 
F","46 
F","86 
%",N,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
118,10:53 AM,"51 
F","46 
F","83 
%",NNE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
119,11:53 AM,"52 
F","45 
F","77 
%",NE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
120,1:53 AM,"49 
F","44 
F","83 
%",NE,"13 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
121,12:53 PM,"52 
F","45 
F","77 
%",NE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
122,1:53 PM,"48 
F","44 
F","86 
%",NNE,"7 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Light Rain,2018-05-12
123,2:16 PM,"48 
F","44 
F","86 
%",NNE,"8 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Light Rain,2018-05-12
124,2:53 PM,"48 
F","45 
F","89 
%",NE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
125,3:16 PM,"49 
F","46 
F","90 
%",NE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
126,3:29 PM,"49 
F","46 
F","90 
%",N,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
127,3:53 PM,"49 
F","46 
F","90 
%",NE,"15 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
128,4:53 PM,"50 
F","45 
F","83 
%",NE,"14 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
129,5:53 PM,"49 
F","45 
F","86 
%",NNE,"14 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
130,6:21 PM,"49 
F","46 
F","90 
%",NNE,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
131,6:53 PM,"50 
F","45 
F","83 
%",VAR,"5 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
132,7:24 PM,"50 
F","45 
F","83 
%",N,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
133,7:53 PM,"50 
F","45 
F","83 
%",NNE,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
134,8:33 PM,"50 
F","45 
F","83 
%",N,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
135,8:53 PM,"49 
F","45 
F","86 
%",NNE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
136,9:22 PM,"49 
F","45 
F","86 
%",NE,"14 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
137,9:53 PM,"49 
F","45 
F","86 
%",NNE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
